       TOINTGOR    1.0e+00       139     3  1.552765908864889e-07     armijo     armijo 1.2954306602e-01   0
       TOINTGOR    1.0e-01       302     2  3.499774753339576e-07     armijo     armijo 3.8619041443e-03   0
       TOINTGOR    1.0e-02       549     2  4.484186443966827e-11     armijo     armijo 8.9910030365e-03   0
       TOINTGOR    1.0e-03       830     1  2.009990860199790e-07     armijo     armijo 1.1070966721e-02   0
       TOINTGOR    1.0e-04      1119     1  2.085385548917986e-09     armijo     armijo 2.2242069244e-02   0
       TOINTGOR    1.0e+00       139     3  1.552765908864889e-07     armijo  goldstein 2.1560192108e-03   0
       TOINTGOR    1.0e-01       302     2  3.499774753339576e-07     armijo  goldstein 5.4540634155e-03   0
       TOINTGOR    1.0e-02       549     2  4.484186443966827e-11     armijo  goldstein 6.0839653015e-03   0
       TOINTGOR    1.0e-03       830     1  2.009990860199790e-07     armijo  goldstein 9.8481178284e-03   0
       TOINTGOR    1.0e-04      1119     1  2.085385548917986e-09     armijo  goldstein 1.3602972031e-02   0
       TOINTGOR    1.0e+00       139     3  1.552765908864889e-07     armijo      wolfe 2.5119781494e-03   0
       TOINTGOR    1.0e-01       302     2  3.499774753339576e-07     armijo      wolfe 3.9238929749e-03   0
       TOINTGOR    1.0e-02       549     2  4.484186443966827e-11     armijo      wolfe 7.4560642242e-03   0
       TOINTGOR    1.0e-03       830     1  2.009990860199790e-07     armijo      wolfe 2.2083997726e-02   0
       TOINTGOR    1.0e-04      1119     1  2.085385548917986e-09     armijo      wolfe 2.0298957825e-02   0
       TOINTGOR    1.0e+00       102     3  7.668390604059367e-07  goldstein     armijo 1.5668869019e-03   0
       TOINTGOR    1.0e-01       214     2  5.315223420347283e-07  goldstein     armijo 2.1920204163e-03   0
       TOINTGOR    1.0e-02       358     2  7.743197574332427e-11  goldstein     armijo 4.3489933014e-03   0
       TOINTGOR    1.0e-03       513     1  2.582577848942696e-07  goldstein     armijo 7.6019763947e-03   0
       TOINTGOR    1.0e-04       677     1  2.487928870053183e-09  goldstein     armijo 7.0078372955e-03   0
